mls_id,status,property_type,list_price,address,city,state,zip_code,district,bedrooms,bathrooms,living_area,piccount
355270,SLD,SF,325000.0,106 Laumakani Loop,KIHEI,HI,96753,Kihei,3,2.0,1008,4
344787,SLD,SF,329900.0,290 Ailana PL,KIHEI,HI,96753,Kihei,3,3.0,1708,16
347639,SLD,SF,329900.0,919 Kahoku PL,KIHEI,HI,96753,Kihei,4,2.0,1951,14
339809,SLD,SF,329900.0,391 Kinaole CIR,KIHEI,HI,96753,Kihei,3,2.0,1087,3
339985,SLD,SF,329900.0,324 Kinaole CIR,KIHEI,HI,96753,Kihei,3,2.0,1017,11
355330,SLD,SF,330000.0,250 HALE KAI,KIHEI,HI,96753,Kihei,3,2.5,1407,5
348316,SLD,SF,330000.0,315 Kaiwahine ST,KIHEI,HI,96753,Kihei,4,3.0,1708,17
332136,SLD,SF,330000.0,1877 Kaahele PL,KIHEI,HI,96753,Kihei,2,1.0,840,1
348737,SLD,SF,331000.0,563 Kaiola ST,KIHEI,HI,96753,Kihei,5,4.0,1932,12
353441,SLD,SF,332500.0,27 ALANIA PL,KIHEI,HI,96753,Kihei,3,2.0,973,24
356296,CXL,SF,334700.0,263 Kaiwahine St,KIHEI,HI,96753,Kihei,3,2.0,1075,17
352064,SLD,SF,334900.0,206 HALE KAI ST,KIHEI,HI,96753,Kihei,5,2.5,1878,10
351048,SLD,SF,335000.0,250 Humupea PL,KIHEI,HI,96753,Kihei,3,2.0,1056,7
350458,SLD,SF,335000.0,264 HOOHIE ST,KIHEI,HI,96753,Kihei,3,3.0,1555,10
345078,CXL,SF,335000.0,108 Oluea ST,KIHEI,HI,96753,Kihei,3,2.0,1238,16
350416,SLD,SF,339000.0,59 NOHOKAI ST,KIHEI,HI,96753,Kihei,1,1.0,600,23
352966,SLD,SF,339000.0,138 E LIPOA St,KIHEI,HI,96753,Kihei,3,1.5,1152,21
353373,SLD,SF,339000.0,236 HALE KAI ST,KIHEI,HI,96753,Kihei,3,3.0,1696,6
341559,SLD,SF,339000.0,1667  S Kihei RD,KIHEI,HI,96753,Kihei,3,2.0,960,30
356006,CXL,SF,339500.0,1036 Hou St,KIHEI,HI,96753,Kihei,3,2.0,1480,1
359477,SLD,SF,339500.0,1036 Hou St,KIHEI,HI,96753,Kihei,3,2.0,1480,1
337820,SLD,SF,339900.0,16 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,3,2.0,1174,12
361726,SLD,SF,339900.0,472 Kaiola Pl,KIHEI,HI,96753,Kihei,5,1.0,2021,1
349541,CXL,SF,339900.0,99 Laumakani Loop,KIHEI,HI,96753,Kihei,4,2.0,1248,1
323916,SLD,SF,339910.0,145 Oluea CIR,KIHEI,HI,96753,Kihei,3,2.0,1238,0
302936,WDN,SF,340000.0,81 Waipuilani RD,KIHEI,HI,96753,Kihei,3,2.0,1848,0
346286,SLD,SF,340000.0,128 Oluea CIR,KIHEI,HI,96753,Kihei,3,2.0,1240,17
340102,SLD,SF,340100.0,857 Mahealani ST,KIHEI,HI,96753,Kihei,3,2.0,1071,9
346960,SLD,SF,342000.0,451 Kalalau PL,KIHEI,HI,96753,Kihei,4,2.0,1680,15
338046,CXL,SF,342990.0,24 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,2,2.0,1030,4
351281,SLD,SF,345000.0,115 Kauhaa ST,KIHEI,HI,96753,Kihei,2,2.0,1030,13
348661,SLD,SF,345000.0,280 Humupea PL,KIHEI,HI,96753,Kihei,4,3.0,2109,26
348945,SLD,SF,345000.0,24 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,2,2.0,1330,23
353367,SLD,SF,347000.0,283 KAIPII Pl,KIHEI,HI,96753,Kihei,3,3.0,2150,26
332917,SLD,SF,349000.0,90 ALIILANI PL,KIHEI,HI,96753,Kihei,6,2.5,2184,5
342632,EXP,SF,349000.0,282 HALE KAI ST,KIHEI,HI,96753,Kihei,3,1.5,984,1
344374,SLD,SF,349000.0,35 Alania PL,KIHEI,HI,96753,Kihei,3,2.0,1206,13
344052,CXL,SF,349000.0,430 Kinaole CIR,KIHEI,HI,96753,Kihei,3,2.0,1017,12
356294,SLD,SF,349900.0,800 Mahealani Pl,KIHEI,HI,96753,Kihei,3,2.0,1038,5
345731,SLD,SF,349900.0,304 Kaiolohia ST,KIHEI,HI,96753,Kihei,3,3.0,1708,24
